age,bmi,sleep_hours,heart_rate,activity_level,caffeine_mg,work_hours,meditation_min,screen_time_hours,social_support,stress_score,stress_level
44,25.2,5.5,69.3,27,255.7,3,1.1,4.3,2,64.6,Medium
59,20.1,5.7,64.3,15,149.4,7.9,12.2,4.9,1,54.9,Medium
45,27.5,10,65.8,62,157.2,8.2,3.1,4.6,3,21.5,Low
33,25.8,6.7,83,75,213.8,7.2,2,9,5,46.9,Medium
32,21.4,5,67.9,52,245,5.4,7.3,7.8,4,53.5,Medium
64,21.5,4.3,63.1,84,113.8,5.4,0.1,7.4,4,42.3,Medium
61,31.5,6.1,65.5,16,163.8,9,2.8,3.9,4,55.1,Medium
20,32.9,6.7,75.7,39,214.2,9.5,2.2,2.6,2,63.1,Medium
54,24.1,8.4,66,12,176.4,7.1,2.1,8.5,1,46.9,Medium
24,25.3,8.3,64.3,51,1,8.8,2.1,9.8,1,31.1,Low
38,26.6,7,57,57,228.6,7.1,0.2,2.5,0,44.5,Medium
26,25.6,6.3,79.9,95,191.8,6.3,0.8,10.5,4,44,Medium
56,18.3,7.5,65.3,36,197.5,8.4,0.8,5.8,2,47.2,Medium
35,26.7,4.4,60,78,54.6,5.7,22.4,6.3,3,31.6,Low
21,16.6,10,63.1,75,162.2,11.8,0.1,3.4,2,35.5,Medium
42,22.1,8,74,60,217.5,5.1,0.9,2.5,1,46.5,Medium
31,27,8.3,71.3,78,79.6,8.6,18.3,1.5,4,20.5,Low
26,27.4,5.4,73.1,33,100.4,8.3,4.9,8.1,0,62,Medium
43,21.8,8.9,68.8,69,218.8,8.1,3,5.8,5,26.7,Low
19,23.2,6.3,56.3,16,96.6,11,0.4,6.9,2,57.8,Medium
37,22.6,5.6,78.3,19,133.3,2.6,5.5,8.3,0,67.9,High
45,24.6,6.9,52.7,72,67.2,8.8,0.7,5.8,1,30.7,Low
64,24.9,6.9,74.6,58,295.6,7.5,5.6,9.4,3,51.7,Medium
24,27.7,5.4,77.5,68,191.6,9.2,19.4,4.3,2,56.1,Medium
61,22.9,5.7,66.8,86,129.6,8.1,3.8,5.2,5,34.2,Medium
25,26.5,5.5,74.3,32,114.6,7.8,1.2,4.2,1,61.1,Medium
64,27,5.6,68.2,77,51.7,5.6,4.9,7.7,4,34.7,Medium
52,25.8,6.4,74.1,16,141.2,6.7,3.6,8.2,2,57.9,Medium
31,24,4.9,79.4,56,203.2,14.3,3.8,5.1,0,95.3,High
34,25.7,6,62.4,82,85.2,9.2,3.3,3.2,2,39.5,Medium
53,28,8.6,78.2,96,158.4,10.1,5.6,8.5,1,41.7,Medium
57,28.4,8.2,88.6,0,120.6,7.3,4.2,4.2,1,62,Medium
21,32.3,5.4,76.3,12,260.4,6.3,21.7,5.2,0,70.3,High
19,21,8.4,63,26,99.1,9.6,8.7,3.9,5,32.7,Low
23,23.2,4.1,91.7,69,212.2,4.2,1.5,6.6,1,77.8,High
59,18.5,10,67.6,58,261.5,6.7,6.5,4.5,2,29.6,Low
21,28.7,9,74.2,5,119.8,7.3,1.2,7.4,5,38.8,Medium
46,23.7,6.2,71.9,96,102.9,9.9,7.6,4.9,0,48.4,Medium
35,25.8,7.6,74.9,93,223.8,8.8,0.8,7.1,1,45.7,Medium
43,22.6,4.9,65.4,98,7.5,7.1,3.2,4.2,1,37,Medium
61,23.7,7.1,71.2,22,184.4,8.7,7.8,8.5,2,54.5,Medium
51,29.9,6.7,82,9,24,7.4,1.6,5,1,59.5,Medium
27,27.8,5.7,67.7,50,247.8,10.1,9.1,6.2,2,62.7,Medium
53,24.6,6.3,65.6,18,129.8,8.5,5.2,3.6,4,48.7,Medium
31,28.1,6.1,68.6,50,142.7,11.5,2.5,6,5,56.7,Medium
48,28.2,5.3,60.6,91,92.1,7.4,2.8,3.7,2,35.7,Medium
32,23.4,5.7,62.4,86,23.4,10.5,13,5.9,3,36.4,Medium
25,19.1,4.8,59.8,67,251.3,8.2,1.2,4.1,1,56,Medium
31,21.4,8.3,68.2,83,136.3,6.6,5.9,5.7,4,22.6,Low
40,19.6,5.6,75.7,82,406.7,13.2,6.1,6.9,5,77.8,High
57,29.7,5.2,86.9,41,85.2,10.6,12.8,3.3,0,76.5,High
38,30.4,8.3,73.3,90,98.3,8.5,6.2,5.9,3,26.6,Low
33,31.3,7.6,77.7,56,78.2,9.5,4.4,6.8,0,51.6,Medium
62,16.9,8.2,68.4,97,135.9,5.8,11.6,6.8,3,20.3,Low
35,29.3,8.4,51.2,67,276,5.9,8.8,9.8,4,20.9,Low
64,33.8,9.9,62.9,37,230.8,10.2,6.3,4.5,5,32.6,Low
41,29.4,6.8,79.8,61,29.6,8,0.2,6,4,39.9,Medium
43,16.4,4.8,74.3,6,246.3,7.7,2.3,9.5,4,71.2,High
42,32.1,7.4,81.9,70,204.6,7.4,5,3.3,3,46.2,Medium
62,25.2,6,68.3,49,188.5,8.3,3.7,1.4,2,52.7,Medium
58,24.1,5.6,49.6,51,95.3,7.5,1.9,7.1,5,29.4,Low
46,26.8,7.1,60.6,25,101.2,3.9,0.8,8.1,0,46.2,Medium
32,20.8,8.3,59.1,25,161,10.8,4,1.8,2,47.9,Medium
62,25,5.7,76.3,18,105.7,7.8,1.7,5.4,2,61.6,Medium
18,31.5,8.9,69.7,8,255,11.7,1.3,4,1,67.8,High
42,27.5,5.5,88.2,60,102.3,4.5,2.5,6.6,0,65.3,Medium
24,25.2,6.6,84.8,19,0,4.5,7.7,5.9,3,51.6,Medium
26,25.4,7.6,86.9,49,45.9,7.4,3.3,8.6,1,49.4,Medium
41,20.3,6.4,58.5,79,51,10,1.2,3.3,1,39.8,Medium
18,24.4,4.3,74.6,80,128.9,5.6,0.6,6.8,4,51.6,Medium
61,18.5,8.4,62,21,167.3,5.5,3.5,7.2,3,36.7,Medium
25,29.1,6.1,75.3,12,154.3,8.7,7.9,6.1,2,63.4,Medium
41,16.3,8.1,57.6,11,186.9,7.4,5.3,2,5,33.6,Medium
28,28.4,5.1,84,9,129.8,9.1,1.3,6.8,2,78.3,High
34,28.9,5.4,64.1,64,132.6,7.4,2.9,4.5,2,45.8,Medium
25,30.3,8.3,53.2,95,290.1,8.8,9.7,2.5,4,20.4,Low
52,25.3,7.5,90.5,29,246.4,10.7,1,6.7,2,78.1,High
52,28.7,6.3,76.3,7,182.7,5.6,3.8,7.5,0,68.7,High
50,24.4,7.5,59,20,223.3,10.4,2.2,4.8,2,55.9,Medium
22,20.3,5.6,66,21,0,4.6,0.7,7.7,2,49,Medium
59,31.1,7.2,67.3,17,84.2,9.2,0.3,7.7,0,56.2,Medium
56,24.6,7.2,69.9,65,115.4,10.8,4.1,6,4,45.2,Medium
58,19.4,6.4,75.2,47,85.1,7,0.1,7.2,1,52.1,Medium
45,23.1,5.7,75.5,43,26.3,9.3,0.5,8,3,54.7,Medium
24,23.3,7.1,71.7,8,183.6,7,2.1,7.1,4,52.6,Medium
26,26.8,6.9,71,66,260.9,9.2,0.2,1.4,2,54.8,Medium
25,34.4,6.3,85.5,53,149,3.5,2.6,1,1,60.9,Medium
29,27.1,5.4,51.8,25,201.9,8.3,0.7,8.1,3,50,Medium
51,25.8,7,62.9,84,146.6,8.8,2.2,4.6,3,33.7,Medium
50,34.8,6.3,65.1,93,114.7,10.7,7.8,5,3,41.2,Medium
40,28.9,5.4,82,91,223.5,9.9,4.9,9.8,0,68.6,High
41,26,7.1,63.1,99,35.7,7.7,2.9,4.5,0,26.8,Low
54,23.1,9.4,56.2,25,0.9,8.5,0.5,5.7,1,24.6,Low
52,26.3,6.4,76.1,33,34.6,5.1,4.8,6,2,49,Medium
61,24.7,9.2,60.8,7,218.3,11.3,0.9,5.6,1,56.7,Medium
57,25.4,10,66.7,9,157,9.4,0.4,8.7,2,42.3,Medium
39,30.3,5.6,96.5,47,180.1,4.3,5.5,5.3,4,67.5,High
44,22.8,7,76.8,54,284.2,8.5,12.2,7.4,3,52.5,Medium
52,27.1,10,68.9,53,56.9,8.6,3.1,6.1,3,21.6,Low
18,28.8,6.8,70.7,77,246.3,6.5,0.2,7.9,0,51.3,Medium
52,22.4,7.1,77.8,39,118.3,8.2,10.6,3.3,4,43.8,Medium
54,21.7,4.5,75,14,106.1,6.3,0.3,1.5,5,62.2,Medium
64,24.4,6.2,70.5,80,156.5,5.2,10.1,6.1,4,36.2,Medium
31,23.2,7.8,70.1,17,169,6.8,2.5,4.3,2,49.1,Medium
20,29.6,10,57.5,95,133.2,8.3,2.3,8.9,4,5.6,Low
18,21,6.7,51.1,22,198.8,9.9,3.9,5.8,0,55,Medium
22,25.3,4.5,68.4,61,156.8,8.1,15.7,6.4,2,51.4,Medium
43,35.2,4.9,68.8,45,134.1,9.9,11.5,5.4,1,63.1,Medium
31,26.7,6.9,76.7,86,116.7,9.3,3.2,4.7,2,45.4,Medium
56,27.3,8.8,73.1,98,169.1,5.9,6,6.1,1,28.3,Low
44,29.6,8,64.6,38,41.5,9.3,4.3,8,5,30.5,Low
26,23.1,7.7,70.7,14,64,9.3,5.9,5.4,2,49,Medium
32,20.7,9,63.7,52,120.6,11.5,8.8,5.2,3,37.6,Medium
32,25.7,5.9,91,87,193.6,8.8,0.2,7.6,5,57,Medium
43,26.1,7,74.4,63,321.4,5.5,2,2.6,1,57.1,Medium
59,18.5,6.2,51.1,62,137.3,6.9,16,8.4,0,32.8,Low
30,26.5,6.6,89,91,8.1,4.3,14.9,4.4,5,31.6,Low
49,29.3,5.5,65.8,79,86.8,9,0.1,7.9,5,39,Medium
56,21.3,6.5,58.4,15,202.7,11.3,1.1,6.6,5,58.5,Medium
49,26.7,7,92.3,69,72.4,3.2,25.4,1.8,1,45.1,Medium
21,28.6,6.4,75.3,65,45.5,11.4,3.4,6,1,59,Medium
47,27.3,6.8,78.2,12,202.3,9,4.3,8.6,2,66.7,High
54,27.7,7.6,78.7,46,187.2,5.8,0.9,5.4,3,48.9,Medium
40,24,8.9,67.4,8,32.2,8.5,11.2,5.6,5,27.6,Low
56,20.5,9,62,62,78.4,5.9,1.3,4.5,2,22.2,Low
62,23.2,8.1,65,33,249.6,8.9,1.1,8.4,2,49.2,Medium
32,22.7,5.1,84.9,80,218.2,8.1,1.3,5.1,3,61.5,Medium
60,24.7,6.5,71.9,90,54.2,8.7,12.6,9.6,2,34,Medium
46,29.4,6.6,85.3,28,0,6.2,6.1,8.3,3,50.5,Medium
53,19.8,6,66.6,36,171.5,6.5,7.3,8.7,0,55.4,Medium
30,25.6,7.5,62.7,42,126.3,9,2.4,6.2,3,39.8,Medium
49,20.7,4.6,53.4,85,164.5,7,12,5,4,32.3,Low
24,22,9.5,75,63,200.8,8.3,7.8,7,3,31.4,Low
39,27.2,8.8,88,23,73.5,8.9,6.9,9.1,3,48.7,Medium
45,20.2,7.7,58.7,70,115.4,7.6,17.7,9.5,4,16.9,Low
19,27.9,6.9,76.6,33,78.1,10.3,2.3,2.3,3,57.3,Medium
59,19.6,8.8,53.5,47,80.9,7.6,4.7,11.4,1,22.1,Low
62,27.7,8,65.8,11,195.2,7.6,12,6.5,2,44.3,Medium
23,18.8,8.7,69.6,22,161.5,6.7,7.8,7.6,2,40.2,Medium
45,22.5,6.9,51.5,78,25,10.1,4.1,4.2,0,32.6,Low
45,32.6,9.7,73.6,96,208,6.6,0.4,4.1,0,30.5,Low
61,31.8,8.8,65,12,122,10.5,5.3,3.1,4,43.5,Medium
61,23.3,7.8,75.2,86,211.7,8.3,3.7,9.4,1,42.5,Medium
37,26.6,8.9,69.1,95,68.8,13.4,1,4.6,0,46.9,Medium
47,29.8,6.4,81.8,44,75.9,6.7,10.7,5.8,2,50.5,Medium
28,27.7,5.2,68.6,98,170.1,10.6,2.1,5.4,0,60.1,Medium
45,23.9,7.5,55.8,64,62.3,9,2.5,4,0,33.3,Medium
42,22,6.9,53.6,46,128,7,5.6,5.6,3,30.8,Low
56,28.5,6.7,52.7,57,53.2,9,3.4,6.2,0,36.4,Medium
50,29.5,8.8,78.6,4,118.7,8.9,0.5,8.5,4,49.4,Medium
18,31.9,7.3,99,76,147.5,7.3,2.5,3.9,2,56.9,Medium
44,18.3,7.4,71,4,151.2,8.9,0.5,4.8,4,53.9,Medium
30,20,6.5,84.2,59,120.8,10.3,1.1,7.1,4,59.5,Medium
58,29.6,8.3,83.6,95,176.7,9,0,6.1,5,36.7,Medium
20,18.8,8.1,61.7,20,161.8,7.2,1,6.1,1,43.5,Medium
56,30,8.3,85.2,23,142.9,7,2,4.1,5,47.1,Medium
23,24.1,6.3,64.8,17,99.9,7.8,3.9,7.6,5,42.8,Medium
25,22.9,9,64.4,20,235.5,10.2,12.6,8.8,3,44.8,Medium
44,25.8,9.8,68.3,53,180.9,6.5,3.9,8.6,4,24.2,Low
26,19.6,8.3,65.7,9,67.1,8.8,6.1,5.6,1,43.7,Medium
54,28.3,5.8,78.3,23,201.9,4.9,2.2,0.8,2,66.5,High
50,31.8,5.8,66.7,84,220,9.2,7,6.5,2,49.2,Medium
59,28.5,6.4,80.6,88,143.5,9.5,4.8,6.2,1,54.4,Medium
61,24,6.2,78.2,59,148.8,12.1,3.1,4,4,65.5,Medium
41,18.8,6.9,70.3,56,0,9.9,1.1,4.4,4,40.1,Medium
32,19,7.9,86.4,22,82.5,7.2,1.8,4,3,51.6,Medium
49,19.7,7.4,80.2,21,217.5,4.9,4.9,6.5,3,56.8,Medium
49,25,7.3,80.7,67,87.4,9,2.8,4.4,5,40.6,Medium
41,25.5,6.6,70.9,33,137.2,7.3,11,6.3,2,47.8,Medium
58,28.5,6.9,75.3,69,81.3,8.7,1.3,10.8,3,42.2,Medium
29,17.8,8.2,71.6,27,168.5,6.6,0.4,5.6,1,48.6,Medium
56,30.2,4,72.7,94,181.5,7.7,4.5,3.7,2,54.8,Medium
19,27.8,7,67.6,98,183.6,4.6,10.9,3.1,4,26.9,Low
20,23.7,7.4,45.3,38,58.9,5.9,2.3,6.7,2,23.8,Low
54,20.2,8.2,74.8,41,158.5,5.6,5.2,10,0,47.5,Medium
34,30,5.5,82.9,22,276.1,9.7,1.3,4.2,2,83.1,High
19,23.8,5.4,57.8,69,209.9,6.3,4.1,1.7,3,42.1,Medium
19,24.9,7.9,76,79,157.5,10.8,7.7,9.4,1,50,Medium
45,26.5,4.1,64.8,1,0,6.4,10.1,11,4,53.1,Medium
40,21.3,9,64.5,23,130.1,12.2,0.6,7.5,4,49,Medium
54,23.9,7.3,82.6,16,281.7,4.1,2.2,6.9,3,64.7,Medium
49,28.5,9.3,61.8,64,255.5,8.8,5.1,6.1,3,29.6,Low
50,28.1,5.4,61.6,69,186.9,8.1,0.2,7.4,3,45.2,Medium
18,28.1,6.3,89.6,68,92.5,5.6,5.9,7.3,0,58.1,Medium
36,20.4,3.4,66.2,59,154.2,6.9,3.8,6.6,1,62.7,Medium
19,24.1,5.8,82,49,211.9,7.5,1.7,4.1,0,68.3,High
61,23.4,6.7,53.2,92,225.2,8.5,8.4,6.6,3,27.9,Low
43,26.7,4.1,55.7,11,175,6.1,1.7,5.8,1,64.4,Medium
49,26.3,6.4,61.5,46,218.4,8.9,23.8,4.4,3,41,Medium
23,25.6,4,65.5,66,145.3,8.2,8.5,6.6,1,55.8,Medium
49,34.9,6.6,60.9,64,141.8,9.6,6.2,5,4,38.4,Medium
21,23.8,8.7,73.1,26,113.3,6.3,0.3,6.1,0,46.2,Medium
28,23.4,6.9,73.5,47,184,7.2,11.7,6.9,5,40.4,Medium
34,20.4,9.5,58.7,87,230,10.9,7.8,7.2,3,27.6,Low
55,18.8,8.2,58.7,61,206.7,6.2,1.3,5.1,3,29.6,Low
41,20.1,9,60.7,43,52.6,5.2,2.5,6.9,2,23.7,Low
22,22.1,5.9,56.9,18,56.8,6.7,1.6,7.4,5,38,Medium
51,30.2,5.8,43.6,58,238.3,4.4,20.8,7.9,4,25.8,Low
23,25.2,7.5,69.2,7,164.1,11.3,9.6,6.6,3,61.1,Medium
39,25.8,4.6,66.1,54,167.3,7.4,13.3,7.2,0,56.4,Medium
28,24.6,7.7,66.5,46,165.4,7.5,7.8,5.2,4,34.1,Medium
33,26.5,6.5,60.6,1,290.1,9.5,3,11.2,3,64.3,Medium
50,30.6,9,80.9,93,114.3,6.5,1.1,5.9,0,34.5,Medium
26,17,8,90.3,93,239.3,7.6,1.2,8.2,2,49,Medium
23,29.9,8.6,64.1,38,168.7,6.5,0.8,5,2,36.5,Medium
33,14.9,5.9,78.9,44,22,4.5,4,6.7,0,55.3,Medium
46,25.1,8.6,73.7,31,84,8.1,12.6,6.7,4,31.3,Low
20,33.8,9.2,74.8,64,101.4,10.1,24,7.1,0,35.4,Medium
37,27.7,6.9,67.9,37,237.4,8.2,1.7,4.3,5,46.4,Medium
53,26.5,5.9,69.9,76,248.2,9.8,6,6.8,0,61.6,Medium
36,33,5.9,85.5,10,178.3,5.8,4.5,5,2,71.5,High
43,22.2,8.9,57.2,9,108.2,6.5,3.4,7.6,2,32.3,Low
20,26.7,10,68.1,58,77.1,5.4,5.5,4.2,2,19.9,Low
36,27.3,5.5,83.6,89,241,8.7,2.3,6.6,5,55.3,Medium
37,22.9,5.4,78.8,54,47.2,7.4,14.5,5.9,3,46.6,Medium
49,23.3,8.4,57.9,19,141.7,7.3,6.1,9.7,5,27.5,Low
24,22.8,5.9,67.1,80,339.2,9.3,7,8.2,3,54.7,Medium
58,25.3,8.5,77.4,16,108.4,7.1,1.4,8.7,5,40.6,Medium
50,27.2,7.7,77.7,67,48.3,10.2,0.9,4.5,1,48.9,Medium
57,25.5,7,80,4,8.8,8.5,2.5,5.2,3,54,Medium
56,27.8,7.7,75.2,59,342.3,7.3,7.3,6,4,47.1,Medium
35,17.1,7.6,71.6,22,177.9,4.9,14,8.3,4,41.8,Medium
57,24.1,6.7,73,45,80.5,9.3,2.8,6.8,2,51.3,Medium
18,20.9,4.4,83.7,51,134.9,8.6,7.4,4.5,5,61.8,Medium
28,26.2,7.3,66.4,9,97,8.7,3.2,4.6,0,54.3,Medium
45,26.1,9.4,71,45,0.9,8.7,1.7,8.4,2,28.3,Low
42,24.5,4.6,59.6,27,213,6.9,6.7,6.8,0,63.1,Medium
40,27,5.6,58.9,96,152.7,7.7,8,6.1,5,26.5,Low
48,29,7.6,75.2,42,206.4,7.1,1.1,5.9,2,50.7,Medium
47,24.8,7.1,62.7,25,150.5,10.5,1.8,7.8,2,56,Medium
59,20.8,7.6,67.3,54,160.5,7.4,3.4,3.9,4,34.7,Medium
52,18.7,6,83,47,0,6.8,1,6.1,0,56.7,Medium
24,25.1,8.7,85.6,28,222.6,10.6,13.2,6.2,1,64.2,Medium
33,26,7.1,92.7,26,62.9,10.4,4.5,3.5,1,71.9,High
43,21.1,8,84.4,17,83.4,8.5,0.6,5.6,2,55.6,Medium
19,27.9,7.5,95.5,59,107.8,7.7,1,10.6,5,48.9,Medium
18,23.2,7.3,73.5,73,0,7.2,15.4,4.3,2,27.3,Low
29,18.4,7.9,57.7,68,103.4,7.9,6.7,6.3,4,19,Low
22,30,7.3,62.5,73,97.8,6.3,6.6,1.8,0,33.2,Medium
54,29.6,5.2,86.3,20,119.8,9,0.4,5.7,2,76.2,High
49,16.9,8.6,66.5,23,13.9,11.3,11.3,3.9,5,36,Medium
26,22.7,8.2,70.1,2,224.2,9.1,2.9,5.3,1,60,Medium
58,22.6,3.8,63.3,94,181.8,5.8,5.4,6.9,0,53.8,Medium
52,31.6,6,69,61,80.9,8.9,16.1,3.7,2,42.3,Medium
36,24.6,8.6,73.6,100,103.5,8.4,0.5,6.5,0,31.6,Low
33,19,4.3,56.4,1,217.1,8.9,3.3,4.4,4,64.8,Medium
20,28.5,8.4,74.3,65,129.4,6.4,0.3,3.3,1,38.6,Medium
37,20.1,6.8,82.7,41,50.8,8,3.5,8,5,44.1,Medium
41,24,9,48.2,33,143.3,9.8,1.5,4.1,0,35,Medium
50,21.9,7,53,41,63,5.9,12.1,5.2,1,29.4,Low
41,22.8,5.9,75.7,19,93.4,7.1,2.5,4.9,2,58.8,Medium
28,28.7,7.5,85.5,96,146,7.4,5,6.4,5,34.5,Medium
25,31.1,7,68.2,67,234.4,10,9.8,6.1,5,43.7,Medium
53,19.9,5.8,47.5,44,311.9,10.3,20.6,5.7,3,47.7,Medium
55,27.5,10,85.6,74,259,4.2,3.5,4.6,0,43.6,Medium
57,22.1,5.5,60.4,41,144.3,10,3,5.5,1,59.2,Medium
37,22.2,3.6,65,46,330.6,10.4,0.4,6.6,0,87.2,High
52,27,9.4,74.2,4,194.7,10.2,0.1,6.2,2,57.4,Medium
42,20.9,6.1,61.3,88,71.6,6.9,4.7,8.2,2,30.5,Low
52,26.9,6.6,62.2,48,157.6,7.5,0.3,7.5,5,37,Medium
42,27.9,6.5,62.9,36,97.4,4.9,2.4,8.2,5,36.6,Medium
46,23.3,6.1,87.7,33,50.2,3.8,0,8.7,1,63.4,Medium
35,30.3,5.9,84.2,72,56.1,7.3,4.8,6.4,4,45.2,Medium
63,19.9,5.5,73.2,69,138.2,8.2,2.8,7.7,0,55.9,Medium
35,30.4,7.1,50.8,17,210.3,8.4,0.7,6.7,0,49.2,Medium
19,17.2,6.4,71.9,77,235.5,9.6,1.8,8.7,2,55.4,Medium
52,35.8,8.1,80.6,18,50.4,14.1,4.2,2.5,0,77.1,High
33,23.4,7.7,56.4,77,125.7,7.2,5.3,5.4,1,25.7,Low
58,20.4,5.6,70.3,39,188.9,5.9,3.1,6.8,3,55.3,Medium
53,24.1,7.2,80.1,16,162.1,9.1,8.1,7.1,5,54.8,Medium
50,20.8,6.4,73.6,59,205.6,8.4,0.6,6,2,54.3,Medium
21,26.5,5.5,63.9,98,115.2,6.9,0.4,2.7,5,30.7,Low
50,30.5,8,72.9,92,251.8,9.8,0.2,5.6,5,39.4,Medium
31,21,6.8,75.3,41,149.7,6.4,3.8,7.6,5,44.5,Medium
38,27.3,6.4,71.7,80,210.6,7.7,6.1,5.4,3,42.6,Medium
37,18.9,5.7,79.5,71,119.5,7.9,0.7,6.2,0,57.5,Medium
25,29.1,5.5,76,64,154.7,6.1,5.1,9.8,4,49.2,Medium
24,26.7,10,78.4,52,22.3,4.6,3.2,5.6,5,19.3,Low
20,29.3,7.5,80.4,99,83.1,8.4,21.8,5.7,1,31.2,Low
34,24.5,5.4,59.1,6,133.4,10.7,6.3,6.4,5,58.8,Medium
50,23.3,7.4,69.6,4,158,9.9,5.4,6.5,5,53.5,Medium
29,28.3,8.6,68.3,23,364.5,10.1,4.2,6.3,0,65.7,Medium
39,19.8,7.3,77.8,27,119.4,6.4,29.7,6.8,1,44.1,Medium
39,18,9.1,71.1,61,39.9,8.4,19.7,3.6,0,25.1,Low
63,25,4.7,68.1,16,286.2,5.2,3.9,5.8,5,64.7,Medium
47,23.4,4,56.4,100,236.3,8.3,3,3.5,0,51.9,Medium
55,27.2,7.4,55.1,19,57.5,10.8,3.1,6.1,0,50.6,Medium
55,29.4,7.4,75.3,2,187.2,10.8,2.8,7.2,2,70.9,High
62,27.1,3,63.9,36,216.8,12.1,3.8,5.7,3,84.8,High
25,29,6.1,78.7,89,163.1,10,1.6,4.1,4,52.2,Medium
44,26.3,5.5,54.2,14,176.1,9,13.1,5.1,3,50.4,Medium
44,27,4.9,86.9,50,99.4,9.7,3.4,9.6,3,69.9,High
51,24.5,5.5,76.4,47,190.3,9.4,9.2,8.9,1,66.3,High
38,26.9,7.9,71.9,7,110.7,6.4,3.2,4.9,2,48.5,Medium
47,25.7,5.5,87.2,12,0,5,6.3,4.9,2,63.7,Medium
50,26.3,5.5,80.1,47,165.7,9.8,2.1,5.8,0,74,High
45,24.3,4.6,64.9,2,15.9,12.2,4.9,8.5,3,72.9,High
64,28.2,8.9,72.4,64,231.1,9.8,3.4,2.5,4,40.2,Medium
50,22.2,7.7,49,72,59.5,4.2,2.3,4.9,1,19.3,Low
22,24.9,3.3,80.6,30,0,7,10.7,6.8,2,66,Medium
36,30.2,5.5,69.6,25,8.5,7.6,0.6,6.6,0,56.1,Medium
21,21.2,7.8,48.3,80,146.7,4.3,3.3,5.1,4,14.2,Low
52,16.4,8.9,53.9,55,164.9,5.2,1.1,5.5,3,21.5,Low
34,26.5,8.3,79.5,33,37,7.9,9.9,6.7,4,34.4,Medium
61,24,6.5,85.6,8,64.2,8.5,1.5,5.2,2,65.5,Medium
45,29,4.1,72.2,61,149.4,6,5,3.9,1,61.6,Medium
47,24.5,8.3,59.9,12,227.8,5.2,0.9,5.6,3,42.2,Medium
46,22.6,6.6,54.6,68,53.2,10.4,2.6,6.4,1,39.8,Medium
63,24.7,7.1,84,40,180.3,7.2,11.5,1.8,5,47.8,Medium
23,29.4,6.7,76.7,76,10.9,7.5,0.9,6.8,4,33.7,Medium
52,27.3,5,67.8,0,175.3,6.9,5.4,7.9,4,61.9,Medium
58,15.3,7.5,59.5,88,210.5,6.5,1.1,5.3,0,35.1,Medium
54,25.7,7.3,77.1,46,191.9,10.6,2.7,5.3,3,60,Medium
41,25.9,6.4,76.9,3,229.6,6.2,3.9,4.5,4,63.1,Medium
46,24.9,7.7,61,99,224.2,8.4,4.3,5.7,2,29.2,Low
63,22.6,4.9,57.4,62,297.8,8,4.6,4.9,5,46.4,Medium
48,29.8,6.6,61.5,51,158.7,4.1,5.1,8.9,2,40.9,Medium
52,30,7,67.8,9,298,8.5,1.6,6.2,1,65.8,Medium
